2022-03-17 16:52:08,933 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:08,933 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:08,933 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:08,933 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:08,933 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:08,933 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:09,938 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:09,938 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:09,938 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:09,938 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:09,938 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:09,938 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:09,938 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:09,938 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:10,948 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:10,948 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:10,948 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:10,948 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:10,948 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:10,948 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:10,948 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:10,948 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:11,962 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:11,962 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:11,962 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:11,962 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:11,962 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:11,962 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:11,962 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:11,962 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:12,977 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:12,977 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:12,977 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

